1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
115 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
115 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
116 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
116 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
116 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
116 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
116 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
117 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
119 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
120 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
120 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
120 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
121 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
121 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
121 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
121 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
122 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
123 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
124 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
124 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
127 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
127 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
128 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
128 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
128 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
128 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
129 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
129 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
129 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
129 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
129 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
129 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
129 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
130 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
130 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
131 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
131 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
131 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
131 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
131 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
132 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
132 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
132 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
132 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
132 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
132 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
132 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
132 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
133 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
133 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
133 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
134 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
135 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
135 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
135 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
136 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
136 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
136 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
137 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
138 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
138 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
138 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
138 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
138 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
139 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
139 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
139 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
139 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
139 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
140 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
140 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
140 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
140 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
140 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
140 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
140 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
141 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
141 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
141 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
141 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
141 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
142 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
142 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
142 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
142 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
142 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
142 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
142 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
143 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
143 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
143 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
143 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
143 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
143 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
143 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
143 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
143 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
143 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
144 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
144 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
144 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
144 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
144 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
144 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
144 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
144 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
145 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
145 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
145 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
145 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
145 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
145 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
145 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
146 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
146 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
146 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
146 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
146 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
146 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
146 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
146 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
146 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
148 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
148 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
148 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
148 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
149 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
149 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
149 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
150 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
150 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
150 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
151 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
152 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
152 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
152 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
152 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
153 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
153 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
153 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
153 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
153 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
154 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
154 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
154 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
154 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
154 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
154 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
154 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
154 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
155 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
155 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
155 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
155 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
155 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
155 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
155 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
155 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
155 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
155 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
156 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
156 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
156 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
156 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
156 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
156 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
156 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
157 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
157 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
157 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
157 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
157 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
157 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
157 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
157 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
157 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
157 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
158 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
158 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
158 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
158 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
158 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
158 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
158 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
158 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
159 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
159 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
159 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
159 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
159 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
159 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
159 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
159 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
159 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
160 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
160 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
160 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
160 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
160 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
160 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
160 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
160 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
160 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
160 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
161 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
161 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
161 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
162 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
162 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
162 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
162 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
162 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
162 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
162 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
162 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
163 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
163 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
163 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
163 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
163 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
163 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
163 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
163 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
164 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
164 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
164 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
164 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
164 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
164 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
164 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
164 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
165 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
165 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
165 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
165 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
165 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
165 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
166 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
166 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
166 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
166 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
166 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
166 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
166 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
167 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
167 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
167 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
167 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
168 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
168 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
168 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
168 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
168 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
168 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
168 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
169 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
169 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
169 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
169 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
169 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
171 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
171 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
171 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
171 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
172 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
172 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
172 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
173 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
173 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
173 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
173 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
174 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
174 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
174 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
175 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
175 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
175 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
1 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
1 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
1 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
2 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
2 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
2 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
2 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
3 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
3 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
4 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
4 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
4 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
5 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
5 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
5 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
5 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
5 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
5 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
6 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
6 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
6 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
6 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
6 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
7 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
7 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
9 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
9 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
9 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
10 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
11 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
11 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
11 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
12 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
12 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
12 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
12 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
12 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
12 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
12 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
12 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
13 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
13 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
13 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
13 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
13 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
14 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
14 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
14 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
15 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
15 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
15 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
15 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
15 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
15 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
15 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
15 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
16 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
16 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
16 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
16 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
17 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
17 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
18 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
19 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
20 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
20 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
20 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
20 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
20 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
20 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
20 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
20 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
20 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
20 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
20 Hint: ( tmp_table_size , 48mb , [] )  hint_id : 66 
21 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
21 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
21 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
21 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
